Course Name,Rating,Reviews,Total Duration,Total Enrolled,normalized_duration,normalized_enrollment
Data Science Foundations,4.44,14965,"2 hrs
Beginner
4.9L+ Learners",4.9L+,2 ,490000
Popular Applications of Data Science,4.54,370,"1 hrs
Beginner
9K+ Learners",9K+,1 ,9000
Career in Data Science,4.49,246,"1 hrs
Beginner
11.9K+ Learners",11.9K+,1 ,11900
Introduction to Data Science,4.53,1090,"1 hrs
Beginner
21.5K+ Learners",21.5K+,1 ,21500
R for Data Science,5,1,"2 hrs
Beginner
7K+ Learners",7K+,2 ,7000
Data Science Mathematics,4.32,249,"1 hrs
Beginner
7.5K+ Learners",7.5K+,1 ,7500
Probability for Data Science,4.47,1199,"2 hrs
Beginner
39.6K+ Learners",39.6K+,2 ,39600
Statistical Methods for Decision Making,4.39,892,"2 hrs
Intermediate
50.4K+ Learners",50.4K+,2 ,50400
Data Visualization With Power BI,4.47,6311,"2 hrs
Beginner
1.1L+ Learners",1.1L+,2 ,110000
Data Visualization using Tableau,4.5,30,"2 hrs
Beginner
95.6K+ Learners",95.6K+,2 ,95600
SQL for Data Science,4.51,3574,"3 hrs
Intermediate
80.7K+ Learners",80.7K+,3 ,80700
Basics of Exploratory Data Analysis,4.52,1296,"2 hrs
Beginner
71.2K+ Learners",71.2K+,2 ,71200
Python for Data Science,4.43,2527,"2 hrs
Beginner
69.7K+ Learners",69.7K+,2 ,69700
Financial Risk Analytics,4.53,2624,"2 hrs
Beginner
65.8K+ Learners",65.8K+,2 ,65800
Marketing and Retail Analytics,4.62,715,"3 hrs
Beginner
31.1K+ Learners",31.1K+,3 ,31100
Data Analytics using Excel,4.65,623,"2 hrs
Beginner
29.1K+ Learners",29.1K+,2 ,29100
Data Mining,4.47,1062,"3 hrs
Intermediate
26.5K+ Learners",26.5K+,3 ,26500
Predictive Modeling and Analytics  Regression,4.52,358,"3 hrs
Beginner
25.2K+ Learners",25.2K+,3 ,25200
Learner Gifts & Rewards,4.49,244,"1 hrs
Beginner
20.9K+ Learners",20.9K+,1 ,20900
Analytics on SAS,4.47,424,"3 hrs
Beginner
18.6K+ Learners",18.6K+,3 ,18600
Case Studies from Healthcare Industry,4.32,306,"1 hrs
Beginner
18.2K+ Learners",18.2K+,1 ,18200
Data Science Projects,4.5,370,"1 hrs
Intermediate
16.8K+ Learners",16.8K+,1 ,16800
Data Mining Projects,4.6,754,"2 hrs
Beginner
16.6K+ Learners",16.6K+,2 ,16600
Marketing & Retail Analytics  Advanced,4.57,543,"1 hrs
Advanced
15.7K+ Learners",15.7K+,1 ,15700
Clustering in R,4.49,285,"3 hrs
Beginner
15.2K+ Learners",15.2K+,3 ,15200
Statistical Analysis,4.44,436,"1 hrs
Beginner
10.5K+ Learners",10.5K+,1 ,10500
Time Series Analysis Stock Market Prediction Python,4.35,175,"2 hrs
Beginner
10.1K+ Learners",10.1K+,2 ,10100
Linear Programming for Data Science,4.59,177,"3 hrs
Beginner
9.2K+ Learners",9.2K+,3 ,9200
COVID19 Outbreak Prediction,4.31,212,"1 hrs
Beginner
8K+ Learners",8K+,1 ,8000
Excel for Data Science for Beginners,4.5,328,"2 hrs
Beginner
7.6K+ Learners",7.6K+,2 ,7600
Credit Card Fraud Detection,4.36,320,"1 hrs
Beginner
7.5K+ Learners",7.5K+,1 ,7500
